Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
CDKN1A	10	0.086249	0.93384	0.040895	0.21991	0.35039	0.99951	0.17333	1.8777	0.0094705	0.060606	0.060425	0.29061	-0.018513	-0.19962	0.43564	0.74412	0.84178	0.9442
PTPRK	10	0.070339	0.88165	0.083943	0.33448	0.37797	0.99951	0.095495	1.1974	0.14938	0.37636	0.23115	0.60612	0.11062	1.3824	0.80112	0.92129	0.16684	0.41854
GRM4	10	0.0023875	0.03412	0.73138	0.89314	0.97278	0.99951	0.0361	0.51622	0.57038	0.77169	0.6057	0.86937	-0.33852	-4.7982	0	0	1.6011e-06	0.00012825
MCCC1	10	-0.033762	-0.36271	0.72406	0.89042	0.71683	0.99951	-0.033408	-0.35918	0.62936	0.80154	0.71946	0.91653	0.10092	1.0793	0.86139	0.9382	0.28044	0.55328
GCSH	10	-0.30947	-2.5844	0	0	0.0097538	0.19893	-0.32167	-2.6884	0	0	0.0071802	0.061549	-0.0078978	-0.065715	0.48515	0.76876	0.9476	0.98559
MAP4K1	10	-0.067049	-0.86548	0.30607	0.60614	0.38677	0.99951	-0.076598	-0.9889	0.28239	0.52861	0.32271	0.70204	-0.044496	-0.57337	0.32587	0.67524	0.56639	0.79464
SDHA	10	-0.062265	-0.93846	0.35514	0.65071	0.34801	0.99951	-0.11668	-1.7588	0.10633	0.30569	0.078609	0.33445	-0.15638	-2.3505	0.0452	0.27202	0.018748	0.12508
FCER1A	10	0.0095013	0.095399	0.61644	0.83401	0.924	0.99951	0.043755	0.43945	0.50108	0.73132	0.66034	0.89389	0.023515	0.23559	0.67198	0.87944	0.81375	0.92568
MAP4K3	10	0.15511	1.9039	0	0	0.05692	0.66113	0.26501	3.2536	0	0	0.0011397	0.013647	0.0016261	0.01992	0.53465	0.79476	0.98411	0.99245
APRT	10	-0.0873	-0.57046	0.15971	0.43853	0.56837	0.99951	-0.038162	-0.24948	0.58287	0.78021	0.80299	0.94687	0.38179	2.4921	0.028412	0.21569	0.012699	0.09768
PPP5C	10	-0.09358	-0.82565	0.12957	0.39295	0.409	0.99951	-0.071074	-0.62743	0.31769	0.55782	0.53038	0.82802	0.10323	0.9078	0.84546	0.93682	0.36398	0.64591
DMPK	10	-0.045159	-0.33564	0.55919	0.80633	0.73714	0.99951	-0.028486	-0.21204	0.67241	0.82909	0.83207	0.95402	-0.29487	-2.1782	0.00086096	0.02	0.029388	0.16368
TLL2	10	0.0017403	0.02149	0.7443	0.89912	0.98285	0.99951	-0.029399	-0.36306	0.66638	0.82704	0.71656	0.91646	-0.056394	-0.69534	0.2768	0.64108	0.48684	0.74063
PPP2R2C	10	-0.051832	-0.43251	0.4731	0.74543	0.66537	0.99951	-0.036733	-0.30669	0.59664	0.78571	0.75908	0.93241	-0.086925	-0.72148	0.1752	0.52102	0.47061	0.7329
DUSP22	10	-0.02695	-0.29067	0.82652	0.92441	0.77131	0.99951	-0.031074	-0.33535	0.6483	0.8167	0.73736	0.92289	-0.082206	-0.88094	0.19242	0.54426	0.37835	0.66331
EPS8L1	10	-0.14262	-1.1304	0.022815	0.15211	0.25831	0.99951	-0.12813	-1.016	0.079208	0.25627	0.30962	0.693	0.13543	1.0707	0.66121	0.87443	0.28432	0.5567
NR1H3	10	-0.046915	-0.41319	0.53638	0.78861	0.67947	0.99951	-0.030981	-0.27338	0.64959	0.8171	0.78456	0.93589	-0.070051	-0.6111	0.23203	0.59231	0.54113	0.77938
PPP1R3D	10	-0.087368	-0.54099	0.15971	0.43853	0.58852	0.99951	-0.084757	-0.52543	0.2359	0.48453	0.59928	0.86831	0.33185	2.0469	0.060697	0.32118	0.040668	0.19682
ADK	10	0.031594	0.28644	0.33362	0.62906	0.77454	0.99951	0.092405	0.83835	0.16616	0.40104	0.40183	0.754	0.16568	1.4986	0.50796	0.78309	0.13397	0.37316
EGLN1	10	-0.16305	-2.1357	0.0068876	0.058824	0.032701	0.48078	-0.23306	-3.0531	0.0030133	0.023569	0.0022652	0.024704	-0.094338	-1.2335	0.15411	0.49861	0.21737	0.48876
HIPK4	10	0.017694	0.22879	0.50108	0.76228	0.81903	0.99951	0.086199	1.1148	0.19415	0.43241	0.26493	0.64673	-0.17202	-2.219	0.034438	0.23988	0.026489	0.15231
CDH5	10	-0.013402	-0.206	0.95136	0.98837	0.83679	0.99951	0.058487	0.89934	0.3771	0.62216	0.36847	0.73599	-0.2675	-4.0932	0.0038743	0.07377	4.2537e-05	0.0019003
NDUFAB1	10	-0.34909	-3.4953	0	0	0.00047351	0.028106	-0.57905	-5.7948	0	0	6.8418e-09	4.8162e-07	-0.10762	-1.0697	0.12312	0.44618	0.28477	0.5567
PPFIA4	10	-0.01255	-0.20619	0.93457	0.98014	0.83664	0.99951	-0.0089083	-0.14638	0.89798	0.94948	0.88362	0.96143	-0.025443	-0.41748	0.4068	0.72379	0.67633	0.85499
NAGPA	10	-0.037437	-0.35114	0.6681	0.86318	0.72548	0.99951	-0.04066	-0.3816	0.56307	0.76716	0.70276	0.91146	0.053195	0.49674	0.8446	0.93682	0.61937	0.82219
TWF1	10	-0.0085586	-0.13023	0.88248	0.95886	0.89639	0.99951	0.060286	0.91733	0.36117	0.60797	0.35897	0.72909	-0.096173	-1.4627	0.14938	0.49083	0.14355	0.38685
PPBP	10	0.058356	0.6708	0.1356	0.39924	0.50235	0.99951	0.15773	1.8133	0.015067	0.084746	0.06979	0.31298	-0.16658	-1.9131	0.03573	0.23988	0.055739	0.22962
PRKD3	10	0.075053	1.5165	0.068015	0.29868	0.12939	0.89731	0.14031	2.8355	0.031425	0.14202	0.0045758	0.042861	-0.0010947	-0.022095	0.52002	0.78391	0.98237	0.99245
SERPINB6	10	-0.080452	-0.7254	0.20319	0.49632	0.46821	0.99951	-0.11633	-1.0495	0.10719	0.30665	0.29396	0.68085	0.054978	0.49319	0.84933	0.93682	0.62188	0.82362
BMX	10	0.052668	0.70403	0.1653	0.44703	0.48142	0.99951	0.036598	0.48927	0.56565	0.76842	0.62465	0.8825	-0.039087	-0.52139	0.34826	0.68443	0.60209	0.81511
FPR1	10	-0.0028084	-0.049686	0.80112	0.91946	0.96037	0.99951	0.037837	0.66974	0.55747	0.76627	0.50302	0.81409	-0.13066	-2.3016	0.078347	0.36546	0.021357	0.13445
CA14	10	-0.073064	-0.95436	0.25743	0.55888	0.3399	0.99951	-0.11636	-1.5206	0.10719	0.30665	0.12835	0.45039	0.025355	0.32942	0.68446	0.88148	0.74184	0.89428
GAK	10	0.04281	0.7576	0.2316	0.52786	0.44869	0.99951	0.011238	0.19887	0.85105	0.92686	0.84236	0.95582	-0.19074	-3.3734	0.024968	0.21168	0.00074239	0.015128
PDE8A	10	0.060708	0.47756	0.12312	0.38649	0.63296	0.99951	0.074608	0.58803	0.25872	0.51062	0.55651	0.84219	0.15134	1.1799	0.56909	0.81227	0.23803	0.51294
NDUFA2	10	-0.14914	-1.6852	0.016789	0.12112	0.091946	0.80615	-0.15856	-1.7937	0.035299	0.15185	0.072862	0.31936	-0.2219	-2.484	0.009901	0.12042	0.012991	0.099594
DBF4	10	-0.20967	-1.783	0.00086096	0.010638	0.074588	0.74364	-0.26019	-2.2139	0.00086096	0.0074349	0.026836	0.17365	0.0030979	0.026213	0.54412	0.79899	0.97909	0.99146
FABP6	10	-0.071364	-0.8703	0.26948	0.57379	0.38414	0.99951	-0.033051	-0.40324	0.63108	0.80329	0.68678	0.90678	-0.17651	-2.1437	0.030564	0.22393	0.03206	0.17441
MAST4	10	-0.1131	-1.0068	0.072751	0.31066	0.31404	0.99951	-0.043559	-0.38918	0.53035	0.74894	0.69714	0.90886	-0.012674	-0.11143	0.46664	0.76087	0.91127	0.96991
HSD17B11	10	-0.017336	-0.29221	0.99785	0.99914	0.77013	0.99951	-0.0062714	-0.10574	0.93026	0.96776	0.91579	0.9729	-0.023322	-0.39203	0.41756	0.73328	0.69503	0.86618
BAIAP2L1	10	0.0095898	0.080787	0.61386	0.83149	0.93561	0.99951	-0.031675	-0.26696	0.64486	0.81457	0.7895	0.93811	0.16373	1.3737	0.51657	0.7838	0.16952	0.42162
STMN4	10	-0.031484	-0.40295	0.76152	0.90542	0.68699	0.99951	-0.023314	-0.2986	0.73267	0.86329	0.76525	0.93241	-0.17006	-2.1603	0.035299	0.23988	0.030751	0.16928
PTGIS	10	-0.12183	-1.5715	0.052949	0.25786	0.11607	0.86435	-0.17466	-2.2535	0.021093	0.10652	0.024225	0.16124	0.024069	0.30967	0.67714	0.88123	0.75681	0.89746
CPD	10	-0.054465	-0.69426	0.44554	0.72785	0.48752	0.99951	-0.028281	-0.36058	0.67628	0.8321	0.71842	0.91646	0.15323	1.9506	0.5622	0.81017	0.051104	0.2191
PPFIA1	10	-0.052037	-0.50442	0.47008	0.74539	0.61397	0.99951	-0.11679	-1.1322	0.10633	0.30569	0.25754	0.63849	0.34761	3.3672	0.048644	0.28109	0.00075938	0.01534
GUCY2C	10	0.08435	1.0344	0.046061	0.23673	0.30095	0.99951	0.049309	0.6049	0.44942	0.69266	0.54525	0.83929	0.14922	1.8225	0.57985	0.81735	0.06838	0.25955
NDUFA7	11	-0.12497	-1.5128	0.034438	0.1956	0.13032	0.89732	-0.14244	-1.7249	0.047353	0.18803	0.084542	0.35259	-0.059212	-0.71404	0.24968	0.61246	0.4752	0.73299
AARS	10	-0.47176	-3.8312	0	0	0.00012749	0.010969	-0.67841	-5.5089	0	0	3.6098e-08	1.6558e-06	-0.70079	-5.6707	0	0	1.4219e-08	4.7187e-06
PNCK	10	0.023682	0.20718	0.43134	0.71879	0.83587	0.99951	0.058861	0.51593	0.37279	0.61901	0.6059	0.86937	0.1671	1.4516	0.50323	0.78081	0.14662	0.39137
THRA	10	0.18272	2.3976	0	0	0.016504	0.28399	0.26955	3.539	0	0	0.00040162	0.0056288	-0.23887	-3.1142	0.0060267	0.08589	0.0018445	0.026779
CHIT1	10	-0.035456	-0.43909	0.69867	0.87648	0.66059	0.99951	-0.022164	-0.2746	0.7443	0.87016	0.78363	0.93589	-0.12457	-1.54	0.091261	0.39011	0.12356	0.35699
KCNN1	10	-0.12631	-1.7904	0.043478	0.22902	0.073389	0.73766	-0.2351	-3.3326	0.0030133	0.023569	0.00086048	0.010864	-0.18823	-2.6629	0.025829	0.21277	0.0077475	0.072864
CDKN2B	10	0.077077	0.87151	0.063711	0.2902	0.38348	0.99951	0.30246	3.4208	0	0	0.00062426	0.0080565	-0.042976	-0.48515	0.33233	0.67835	0.62757	0.82879
ADH4	10	0.0289	0.45992	0.36548	0.66276	0.64557	0.99951	0.09393	1.495	0.16057	0.39429	0.13491	0.45912	-0.18985	-3.0166	0.025829	0.21277	0.0025563	0.034525
PLOD1	10	-0.068044	-1.0202	0.29789	0.59965	0.30762	0.99951	-0.071309	-1.0696	0.31683	0.55782	0.28478	0.66817	-0.002911	-0.043488	0.5127	0.78309	0.96531	0.9886
NDUFS3	10	-0.078287	-0.98634	0.2118	0.50254	0.32397	0.99951	-0.14566	-1.8357	0.052949	0.20264	0.0664	0.306	-0.44029	-5.5072	0	0	3.6454e-08	9.4091e-06
ILKAP	10	-0.0038557	-0.039539	0.81834	0.92103	0.96846	0.99951	-0.034907	-0.35807	0.61644	0.79511	0.72029	0.91653	0.075597	0.77282	0.98192	0.99217	0.43963	0.70938
TBK1	10	0.019202	0.26121	0.47783	0.74597	0.79393	0.99951	0.069784	0.94978	0.28842	0.53514	0.34223	0.71985	0.052297	0.70886	0.84029	0.93682	0.47841	0.73405
ROCK1	10	0.061027	0.74915	0.12096	0.38599	0.45376	0.99951	0.19238	2.3618	0.0055962	0.04127	0.018188	0.13	-0.1531	-1.8782	0.048644	0.28109	0.060356	0.23851
CDKL5	10	0.05452	0.70518	0.15497	0.43114	0.4807	0.99951	0.072008	0.9315	0.27464	0.52545	0.35159	0.72289	0.12564	1.6231	0.72062	0.89807	0.10456	0.323
FGR	10	-0.13884	-1.5924	0.025829	0.16129	0.11129	0.85667	-0.18901	-2.1683	0.014636	0.083538	0.030137	0.1852	0.12222	1.3995	0.7387	0.90326	0.16166	0.41109
GNAT1	10	-0.13976	-1.0924	0.024968	0.15934	0.27464	0.99951	-0.15397	-1.2048	0.040034	0.1646	0.22827	0.60396	0.02054	0.15949	0.65002	0.86697	0.87328	0.9558
MMP28	10	0.010935	0.16039	0.59449	0.82007	0.87257	0.99951	0.025022	0.36706	0.68747	0.83797	0.71358	0.91555	-0.097012	-1.4206	0.14679	0.48506	0.15542	0.40476
LPA	10	-0.029456	-0.43898	0.79208	0.91551	0.66068	0.99951	0.021468	0.32056	0.73353	0.86329	0.74855	0.93038	-0.11552	-1.7051	0.1059	0.41345	0.088183	0.30081
SLC13A1	10	-0.013068	-0.19414	0.94447	0.98562	0.84607	0.99951	0.076149	1.1324	0.24925	0.49828	0.25747	0.63849	-0.072243	-1.0665	0.22471	0.58324	0.2862	0.55823
FCGR3B	10	-0.05188	-0.87586	0.4731	0.74543	0.38111	0.99951	-0.026465	-0.44705	0.69824	0.84205	0.65484	0.89182	-0.080943	-1.3597	0.19544	0.54426	0.17392	0.42764
RNGTT	10	-0.58758	-3.8638	0	0	0.00011166	0.010148	-0.74751	-4.9156	0	0	8.8513e-07	2.5075e-05	-0.81394	-5.2928	0	0	1.2045e-07	1.9985e-05
UQCRC1	10	-0.14452	-1.6581	0.020663	0.13994	0.097289	0.81653	-0.41207	-4.7261	0	0	2.2884e-06	5.716e-05	-0.43042	-4.9042	0	0	9.3786e-07	9.0777e-05
HLCS	10	-0.023074	-0.27046	0.89669	0.96175	0.78681	0.99951	-0.087782	-1.0293	0.2161	0.46055	0.30335	0.68648	0.12123	1.4161	0.7443	0.90618	0.15673	0.40499
IARS2	10	0.012954	0.13764	0.57124	0.81361	0.89053	0.99951	-0.058424	-0.62088	0.4124	0.65752	0.53468	0.82914	0.065458	0.6935	0.91433	0.96327	0.488	0.74111
GABRG3	10	0.056502	0.78908	0.1455	0.41422	0.43006	0.99951	0.13807	1.9287	0.034869	0.15028	0.053768	0.27271	-0.21115	-2.9406	0.014206	0.15714	0.0032754	0.041578
SLC32A1	10	-0.091721	-0.37441	0.13603	0.39924	0.7081	0.99951	-0.14246	-0.58233	0.057254	0.21383	0.56034	0.8436	-0.063167	-0.25487	0.25484	0.61771	0.79883	0.91995
RPS6KA3	10	0.031632	0.34927	0.33319	0.62906	0.72689	0.99951	-0.012753	-0.14089	0.85665	0.92827	0.88796	0.96209	0.071036	0.78065	0.95006	0.98002	0.43501	0.70518
MS4A1	10	0.10381	1.6815	0.015067	0.11218	0.092657	0.80615	0.10434	1.6904	0.11666	0.32339	0.090955	0.36874	-0.032159	-0.51983	0.37538	0.70177	0.60318	0.81549
LIPJ	10	-0.061966	-0.62102	0.35687	0.65071	0.53459	0.99951	-0.042692	-0.42811	0.54068	0.75405	0.66857	0.89427	0.33385	3.339	0.059836	0.32102	0.00084093	0.016279
AKT1	10	-0.077504	-1.2416	0.21868	0.51158	0.21438	0.99951	-0.06525	-1.0454	0.36117	0.60797	0.29585	0.68254	-0.12286	-1.9657	0.094705	0.39464	0.049338	0.21666
DPH5	10	-0.013056	-0.1215	0.94447	0.98562	0.9033	0.99951	-0.17382	-1.6182	0.021954	0.10991	0.10562	0.39784	-0.019287	-0.17772	0.43306	0.74244	0.85894	0.95467
MMACHC	10	-0.030626	-0.23296	0.77099	0.9078	0.81579	0.99951	-0.05928	-0.45096	0.40551	0.6519	0.65202	0.89182	0.14538	1.1052	0.59966	0.82867	0.26909	0.53796
INPP5K	10	-0.042338	-0.45114	0.60224	0.82488	0.65189	0.99951	-0.19342	-2.0613	0.013345	0.078283	0.039279	0.21987	0.0069618	0.073968	0.56565	0.81111	0.94104	0.98337
LSS	10	-0.59978	-4.2548	0	0	2.0926e-05	0.0032407	-0.91126	-6.4605	0	0	1.0437e-10	1.4262e-08	-0.12229	-0.86619	0.095136	0.39464	0.38639	0.67013
SUCLG2	10	-0.14035	-1.9488	0.023676	0.15235	0.051319	0.63723	-0.19035	-2.6436	0.014636	0.083538	0.0082034	0.068059	0.031746	0.43984	0.71976	0.89801	0.66005	0.84517
RPL37	10	-0.6776	-4.7659	0	0	1.8803e-06	0.00072798	-0.84379	-5.9364	0	0	2.9137e-09	2.334e-07	-0.61523	-4.2438	0	0	2.198e-05	0.00111
SLC5A6	10	0.045836	0.78773	0.21007	0.50051	0.43085	0.99951	0.086475	1.4863	0.19156	0.42871	0.13721	0.45947	-0.23118	-3.9676	0.0077486	0.10286	7.2605e-05	0.0026772
MTMR1	10	0.13691	1.8529	0.00086096	0.010638	0.063904	0.71028	0.2232	3.0226	0	0	0.0025062	0.026463	0.042363	0.57079	0.78433	0.91738	0.56814	0.79554
GPX3	10	-0.11515	-1.1066	0.067155	0.29602	0.26848	0.99951	-0.17558	-1.6876	0.021093	0.10652	0.091479	0.36906	0.13508	1.2954	0.6638	0.87465	0.19517	0.46076
RPL3	10	-0.24136	-2.0497	0.00043048	0.0058824	0.040398	0.56876	-0.28741	-2.4442	0.00043048	0.0039526	0.014516	0.10808	-0.54531	-4.5341	0	0	5.7846e-06	0.00037327
SLC7A11	10	0.1041	1.0258	0.014636	0.10932	0.30498	0.99951	0.12731	1.2564	0.052949	0.20264	0.20897	0.57829	-0.041993	-0.40935	0.3362	0.67913	0.68229	0.85686
ASRGL1	10	-0.11301	-0.59838	0.072751	0.31066	0.54959	0.99951	-0.093329	-0.49536	0.18683	0.42383	0.62035	0.87827	-0.014181	-0.074175	0.45932	0.75798	0.94087	0.98337
NDUFV2	10	-0.075166	-0.52155	0.24236	0.54187	0.60199	0.99951	-0.045449	-0.3156	0.50839	0.73524	0.75231	0.93107	0.25269	1.7485	0.19458	0.54426	0.080381	0.28378
GABRA6	10	0.014104	0.20581	0.55187	0.80075	0.83694	0.99951	0.062394	0.9108	0.3461	0.59118	0.3624	0.73141	-0.04044	-0.58981	0.3418	0.68092	0.55532	0.78899
SIK1	10	0.10705	0.80622	0.012053	0.09396	0.42012	0.99951	0.16858	1.2707	0.011192	0.068241	0.20382	0.57252	0.39388	2.9563	0.021954	0.19847	0.0031133	0.040329
DSTYK	10	0.0043328	0.067518	0.69953	0.87648	0.94617	0.99951	-0.034503	-0.5377	0.6186	0.79656	0.59078	0.86477	-0.052603	-0.81884	0.29445	0.65959	0.41288	0.69221
SYTL4	10	0.10562	1.0226	0.012914	0.099668	0.30649	0.99951	0.21197	2.0561	0.00043048	0.0039526	0.039776	0.22187	-0.12932	-1.2373	0.08093	0.37037	0.21598	0.48876
PIK3R4	10	-0.11005	-1.0864	0.08136	0.32812	0.27732	0.99951	-0.20385	-2.0126	0.0094705	0.060606	0.044157	0.23635	0.22407	2.2081	0.27292	0.63627	0.027239	0.15509
CHRNG	10	0.038612	0.47863	0.27378	0.57786	0.6322	0.99951	0.034917	0.43287	0.57813	0.77675	0.66511	0.89427	-0.020408	-0.25262	0.42617	0.73936	0.80056	0.91995
PTK2	10	0.036869	0.51083	0.28842	0.59397	0.60947	0.99951	0.12481	1.7299	0.056393	0.21163	0.083645	0.3501	-0.12305	-1.6986	0.094705	0.39464	0.089389	0.30288
SLC25A6	10	-0.068956	-1.1256	0.29186	0.59719	0.26032	0.99951	0.0091259	0.14914	0.86698	0.92989	0.88144	0.96119	0.031445	0.51069	0.71804	0.89677	0.60957	0.81976
NDUFA4L2	10	-0.10412	-1.1272	0.096427	0.35726	0.25964	0.99951	-0.13955	-1.5114	0.061989	0.22222	0.13069	0.45515	0.085054	0.91824	0.95179	0.98092	0.3585	0.64047
CTNS	10	-0.028581	-0.35342	0.80413	0.91946	0.72378	0.99951	-0.11544	-1.4277	0.10934	0.309	0.15339	0.48545	0.04199	0.51835	0.78089	0.91616	0.60422	0.81604
UGT3A1	10	-0.11993	-0.96515	0.057684	0.26962	0.33447	0.99951	-0.21224	-1.7095	0.0073181	0.050746	0.087355	0.35853	0.24039	1.9227	0.22514	0.58371	0.054521	0.22698
KRTAP5-2	10	-0.074547	-1.1484	0.24623	0.54685	0.25081	0.99951	-0.10431	-1.608	0.14378	0.36784	0.10783	0.40271	-0.014753	-0.22593	0.4576	0.75798	0.82126	0.92752
ATR	10	-0.46795	-3.7965	0	0	0.00014674	0.012174	-0.64273	-5.214	0	0	1.8485e-07	7.0393e-06	-0.054875	-0.44379	0.28368	0.64643	0.6572	0.8439
DCK	10	-0.065217	-0.67641	0.32286	0.61995	0.49878	0.99951	-0.12935	-1.3421	0.078777	0.25559	0.17956	0.53614	0.17669	1.8262	0.45717	0.75798	0.067815	0.25825
SMPD1	10	-0.033523	-0.38179	0.72837	0.89241	0.70262	0.99951	-0.040684	-0.46345	0.56263	0.76716	0.64304	0.89182	0.064927	0.73781	0.91132	0.9614	0.46063	0.72651
CHRNA7	10	-0.10688	-0.83636	0.089539	0.3438	0.40295	0.99951	-0.18216	-1.4267	0.01765	0.095128	0.15368	0.48571	0.18376	1.4291	0.42617	0.73936	0.15298	0.40154
S100B	10	-0.1768	-2.0661	0.0047353	0.045267	0.03882	0.55021	-0.21851	-2.5542	0.0051657	0.038217	0.010643	0.08316	0.13242	1.5447	0.67929	0.88148	0.12241	0.35456
CTSS	10	0.10945	1.7741	0.010762	0.086505	0.076046	0.74854	0.1532	2.4834	0.016789	0.091765	0.013013	0.099113	-0.10263	-1.6616	0.13302	0.45846	0.096587	0.31511
ABCE1	10	-0.54115	-4.053	0	0	5.0565e-05	0.0061875	-0.77356	-5.7888	0	0	7.0878e-09	4.8426e-07	-0.52547	-3.8662	0	0	0.00011052	0.0037209
AKAP14	10	0.046273	0.5194	0.2062	0.49792	0.60348	0.99951	0.036856	0.41389	0.56393	0.76743	0.67896	0.90333	0.15324	1.7138	0.5622	0.81017	0.086568	0.2985
EPHA1	10	-0.028494	-0.4336	0.80499	0.91946	0.66458	0.99951	0.061333	0.93419	0.35256	0.59956	0.35021	0.72289	-0.12817	-1.9397	0.083082	0.37165	0.052416	0.22179
HK1	10	-0.0015514	-0.021123	0.78261	0.90959	0.98315	0.99951	0.033505	0.4569	0.59879	0.786	0.64774	0.89182	-0.1048	-1.4134	0.12871	0.45386	0.15755	0.40619
TNIK	10	0.094726	1.2001	0.025829	0.16129	0.2301	0.99951	0.19414	2.46	0.0047353	0.035599	0.013893	0.10377	-0.23996	-3.0339	0.0060267	0.08589	0.0024143	0.032798
PPP1R14D	10	-0.091022	-1.14	0.13991	0.40423	0.25427	0.99951	-0.17082	-2.1406	0.024537	0.12102	0.032305	0.19406	-0.014093	-0.17523	0.45975	0.75798	0.8609	0.95477
PROZ	10	0.011143	0.15466	0.59019	0.81559	0.87709	0.99951	0.062964	0.8745	0.33965	0.58401	0.38185	0.73776	-0.078182	-1.0788	0.20534	0.5553	0.28067	0.55328
GNPDA1	10	-0.03707	-0.69433	0.67413	0.86663	0.48748	0.99951	-0.0084136	-0.15764	0.90228	0.95014	0.87474	0.96119	-0.13749	-2.5676	0.067585	0.33122	0.010242	0.085569
NUAK2	10	-0.10333	-1.104	0.09944	0.3615	0.2696	0.99951	0.008361	0.089387	0.88033	0.93764	0.92877	0.97892	-0.15676	-1.6666	0.0452	0.27202	0.095592	0.31364
SCYL3	10	0.040629	0.55395	0.25398	0.55587	0.57962	0.99951	0.089613	1.2221	0.17994	0.4201	0.22166	0.59874	-0.055694	-0.75756	0.27981	0.64229	0.44871	0.71736
STRADB	10	-0.031739	-0.30084	0.75592	0.90422	0.76354	0.99951	-0.021365	-0.20272	0.75592	0.87756	0.83935	0.95582	-0.035303	-0.33192	0.36246	0.69357	0.73995	0.8934
KCNK9	10	0.013325	0.2083	0.56436	0.81076	0.835	0.99951	0.11892	1.8602	0.069307	0.23958	0.062862	0.29681	-0.23472	-3.6486	0.0068876	0.095238	0.00026363	0.0072049
PTGR1	10	-0.0081414	-0.041517	0.87774	0.95728	0.96688	0.99951	-0.030947	-0.15845	0.64959	0.8171	0.8741	0.96119	0.021356	0.10642	0.65519	0.86971	0.91525	0.97147
MMP19	10	-0.083284	-0.75243	0.18467	0.47195	0.45179	0.99951	-0.087043	-0.78714	0.21954	0.46279	0.4312	0.77299	0.12299	1.1059	0.73353	0.90227	0.26878	0.53795
ACOT13	10	0.0067828	0.08408	0.66121	0.8612	0.93299	0.99951	0.017486	0.21681	0.77916	0.88987	0.82836	0.95402	0.044977	0.55644	0.79811	0.91964	0.57791	0.79972
LARS	10	-0.2779	-2.0406	0	0	0.041295	0.57443	-0.42057	-3.0885	0	0	0.002012	0.022256	-0.22397	-1.6361	0.0094705	0.11957	0.10182	0.31908
INSRR	10	-0.053316	-0.37422	0.45674	0.73412	0.70824	0.99951	-0.070295	-0.49472	0.32329	0.56213	0.6208	0.87827	0.079554	0.55249	0.9901	0.99653	0.58061	0.80038
MYO3B	10	0.0043283	0.050872	0.69996	0.87655	0.95943	0.99951	0.06967	0.82118	0.29057	0.53712	0.41154	0.76041	-0.077469	-0.89685	0.20749	0.55852	0.3698	0.65277
TPK1	10	0.041323	0.59489	0.24752	0.54814	0.55192	0.99951	0.076323	1.0993	0.24882	0.49828	0.27164	0.65261	-0.060132	-0.8616	0.26173	0.62616	0.38891	0.67113
RAMP2	10	-0.028295	-0.52629	0.80628	0.91946	0.59869	0.99951	-0.036421	-0.67749	0.60052	0.7864	0.49809	0.80971	-0.063385	-1.1774	0.25484	0.61771	0.23902	0.51363
KCNJ12	10	-0.037432	-0.52272	0.6681	0.86318	0.60117	0.99951	-0.0057923	-0.080897	0.93629	0.96796	0.93552	0.98035	-0.19808	-2.7608	0.022385	0.19847	0.005766	0.060783
PTPN22	10	0.0010708	0.016457	0.75161	0.90279	0.98687	0.99951	-0.019285	-0.29645	0.77873	0.88987	0.76689	0.93241	0.10493	1.6086	0.83556	0.93632	0.10771	0.32794
TF	10	-0.041649	-0.69823	0.61343	0.83139	0.48503	0.99951	0.033773	0.56632	0.59406	0.78543	0.57118	0.85136	-0.16133	-2.6986	0.041326	0.26016	0.0069633	0.068252
RPIA	10	-0.2545	-2.3153	0	0	0.020599	0.3323	-0.56583	-5.1455	0	0	2.6682e-07	9.3912e-06	0.01731	0.15723	0.62635	0.84741	0.87507	0.9558
CTSG	10	-0.0032586	-0.034596	0.80715	0.91946	0.9724	0.99951	0.0081593	0.086647	0.8842	0.93876	0.93095	0.98008	-0.037211	-0.394	0.35514	0.68891	0.69358	0.8653
RIPK3	8	-0.066887	-0.54507	0.38011	0.67198	0.58571	0.99951	-0.025344	-0.20669	0.76711	0.88525	0.83625	0.95507	0.23114	1.8777	0.3022	0.66478	0.060417	0.23851
MAGI3	10	0.023424	0.32727	0.43392	0.72051	0.74346	0.99951	0.088131	1.2315	0.18511	0.42383	0.21812	0.59472	-0.061693	-0.86062	0.25829	0.62176	0.38945	0.67113
FTH1	10	0.066444	1.1339	0.10159	0.3653	0.25683	0.99951	0.10081	1.7209	0.12527	0.33956	0.085269	0.35308	-0.23804	-4.045	0.0060267	0.08589	5.2318e-05	0.0021264
CD33	10	-0.056533	-0.70914	0.42187	0.71169	0.47823	0.99951	-0.036791	-0.4623	0.59664	0.78571	0.64387	0.89182	-0.1	-1.2395	0.13689	0.46491	0.21515	0.48857
NDUFB7	10	-0.080551	-0.9699	0.20232	0.49526	0.3321	0.99951	-0.043333	-0.52213	0.5325	0.74894	0.60158	0.86937	-0.49583	-5.9041	0	0	3.545e-09	2.745e-06
