Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
AKAP8	10	-0.11597	-1.7907	0.26216	0.95305	0.073344	0.72194
MAP1A	10	-0.080139	-0.79213	0.44641	0.9961	0.42829	0.92978
PLA2G1B	10	-0.070011	-0.96864	0.50194	0.9961	0.33273	0.9042
UQCR10	10	-0.17047	-1.0575	0.10848	0.79758	0.29028	0.89459
TESK2	10	0.32125	2.5064	0.0021524	0.16129	0.012198	0.50598
STK25	10	0.040322	0.43711	0.70383	0.9961	0.66203	0.97227
GABRR1	10	-0.08163	-0.69077	0.43866	0.9961	0.48971	0.93318
ACVR1	10	0.024989	0.25963	0.82092	0.9961	0.79515	0.98253
PGAM2	10	0.061056	0.62911	0.5579	0.9961	0.52928	0.94651
DDX39B	10	-0.12793	-0.92136	0.21997	0.91577	0.35686	0.90745
SLC12A3	10	-0.049105	-0.48832	0.62936	0.9961	0.62533	0.96319
PDHB	10	0.062367	0.89268	0.54886	0.9961	0.37203	0.91352
PPME1	10	-0.15198	-1.3406	0.14808	0.8536	0.18005	0.83494
ADRA1D	10	0.065077	0.8585	0.52777	0.9961	0.39062	0.92685
CAMK1D	10	0.1155	1.0546	0.25915	0.95305	0.29161	0.89459
NDUFA12	10	-0.094922	-1.252	0.36505	0.9961	0.21058	0.86446
NHP2L1	10	0.09617	0.39152	0.35084	0.9961	0.69541	0.97862
FGFR2	10	-0.046944	-0.6908	0.64313	0.9961	0.48969	0.93318
GCH1	10	0.10793	1.4099	0.29402	0.98166	0.15857	0.82859
SKP2	10	-0.041035	-0.39058	0.68231	0.9961	0.6961	0.97862
WNK2	10	0.065434	0.83423	0.52518	0.9961	0.40415	0.92978
CAMK1	10	0.053444	0.53359	0.61429	0.9961	0.59362	0.95942
MMP13	10	0.1002	1.3844	0.33104	0.9961	0.16625	0.82859
SCNN1G	10	0.033115	0.3881	0.75678	0.9961	0.69794	0.97862
POMK	10	0.0016064	0.021877	0.99053	0.99784	0.98255	0.99869
GLUD2	10	-0.021619	-0.25209	0.82393	0.9961	0.80097	0.98253
GCA	10	0.014738	0.15845	0.90099	0.9965	0.8741	0.99498
HEXB	10	0.14989	1.9294	0.1356	0.83777	0.053676	0.70695
AADAT	10	0.026708	0.28287	0.80542	0.9961	0.77727	0.97983
GADL1	10	0.026204	0.28043	0.80973	0.9961	0.77915	0.97983
SERPIND1	10	0.094858	1.3359	0.35859	0.9961	0.18157	0.83494
PGD	10	-0.2234	-2.2301	0.037452	0.6338	0.025739	0.59791
VRK2	10	0.057556	0.54488	0.58158	0.9961	0.58584	0.95942
PTPRA	10	0.043917	0.50437	0.68145	0.9961	0.614	0.95959
MMP7	10	-0.14204	-2.1011	0.1752	0.86809	0.035635	0.66384
PCMT1	10	-0.12067	-1.3295	0.24365	0.94108	0.18368	0.83666
OAS1	10	-0.052564	-0.7528	0.60913	0.9961	0.45157	0.92978
PTPRH	10	-0.12834	-1.7131	0.21739	0.91577	0.086702	0.74663
AKT2	10	-0.04525	-0.54001	0.65088	0.9961	0.58919	0.95942
F3	10	-0.012118	-0.11613	0.88678	0.9965	0.90755	0.99649
SSH3	10	-0.17113	-1.3543	0.10848	0.79758	0.17564	0.83217
RIPK4	10	0.45896	3.0421	0	0	0.0023495	0.47992
PSAT1	10	-0.078165	-0.84152	0.45631	0.9961	0.40006	0.92978
FGA	10	0.089567	0.76852	0.38356	0.9961	0.44218	0.92978
TGFBR1	10	0.28119	1.5114	0.0068876	0.35556	0.13068	0.8237
MMP11	10	-0.097243	-1.1379	0.35471	0.9961	0.25514	0.87765
MSRA	10	0.063917	0.73887	0.53465	0.9961	0.45998	0.92978
DGKB	10	0.07886	0.72107	0.44124	0.9961	0.47086	0.92978
SLC1A2	10	0.092079	1.3913	0.37322	0.9961	0.16414	0.82859
SPHK1	10	-0.03588	-0.47975	0.71416	0.9961	0.6314	0.96319
NEK11	10	0.031735	0.37376	0.76582	0.9961	0.70859	0.97862
DHFRL1	10	-0.0092531	-0.077306	0.90874	0.9965	0.93838	0.99649
ALDH18A1	10	0.10854	1.3916	0.29229	0.98166	0.16404	0.82859
GABRE	10	-0.13721	-1.5577	0.19113	0.87747	0.11931	0.801
EN2	10	0.10585	1.2317	0.30263	0.98795	0.21807	0.86446
HARS	10	-0.37988	-2.8359	0.0017219	0.16129	0.0045703	0.47992
ALDH1A2	10	-0.16	-1.9361	0.13	0.82561	0.052855	0.70695
DHCR7	10	0.043615	0.52778	0.68274	0.9961	0.59765	0.95942
MAPK8	10	-0.19726	-1.8485	0.065002	0.72857	0.064526	0.70695
TRPV1	10	0.084373	0.85989	0.41498	0.9961	0.38985	0.92685
SACM1L	10	-0.38547	-2.1454	0.00086096	0.125	0.031923	0.64841
EPHA4	10	0.088485	1.119	0.38958	0.9961	0.26316	0.87765
P4HA1	10	0.10555	1.067	0.30435	0.98795	0.28597	0.89459
MINK1	10	0.0036056	0.036258	0.99225	0.99784	0.97108	0.99869
PDK3	10	-0.011526	-0.13934	0.89023	0.9965	0.88918	0.99498
ZAP70	10	-0.068697	-0.60083	0.5071	0.9961	0.54796	0.95407
PPFIA3	10	0.054278	0.69991	0.60611	0.9961	0.48398	0.93126
LAMTOR3	10	0.080623	0.74485	0.43392	0.9961	0.45636	0.92978
NGB	10	0.013668	0.13999	0.9096	0.9965	0.88867	0.99498
SDSL	10	-0.0079992	-0.087239	0.91821	0.9965	0.93048	0.99649
SPTLC3	10	0.032122	0.27216	0.76238	0.9961	0.7855	0.98062
STK33	10	-0.20708	-2.6387	0.05424	0.71751	0.0083224	0.49845
RIPK1	10	-0.081043	-0.95011	0.4421	0.9961	0.34206	0.9042
MAP3K9	10	-0.087439	-0.78811	0.40895	0.9961	0.43063	0.92978
DBI	10	0.15924	1.6131	0.11365	0.79758	0.10672	0.76837
CLPX	10	-0.070988	-0.31787	0.49677	0.9961	0.75059	0.97983
INPP5A	10	-0.1182	-1.2152	0.25312	0.95305	0.2243	0.87702
ACVR2B	10	0.0061859	0.065272	0.97073	0.9965	0.94796	0.99756
PRODH	10	-0.12213	-1.3755	0.23848	0.93898	0.16898	0.82859
PRKCA	10	-0.038239	-0.54166	0.70125	0.9961	0.58805	0.95942
RDH5	10	0.027178	0.34015	0.8037	0.9961	0.73374	0.97983
SDF2	10	0.044184	0.42572	0.67929	0.9961	0.67031	0.97862
CDK20	10	0.16284	2.0071	0.10547	0.79545	0.044738	0.67799
GSR	10	0.16538	1.4848	0.099871	0.78477	0.13761	0.82859
SRPK2	10	0.15261	1.5012	0.12785	0.82561	0.13331	0.82859
CDK19	10	0.028334	0.47852	0.79208	0.9961	0.63228	0.96319
CAMK1G	10	-0.1132	-1.2449	0.27421	0.96692	0.21318	0.86446
IL4I1	10	-0.069337	-0.63547	0.50452	0.9961	0.52512	0.94221
TUBB1	10	-0.15058	-1.316	0.15153	0.85854	0.18819	0.84388
RPL23	10	-0.079657	-0.48975	0.44856	0.9961	0.62431	0.96319
CSF2RB	10	0.1704	1.8573	0.091261	0.77817	0.063265	0.70695
HTR1E	10	-0.086623	-0.80456	0.41326	0.9961	0.42107	0.92978
DLAT	10	-0.01437	-0.19724	0.87	0.9961	0.84364	0.99498
COX5A	10	-0.26101	-2.3452	0.018941	0.5641	0.019019	0.55204
MGAM	10	-0.049403	-0.60174	0.62678	0.9961	0.54735	0.95407
ADH5	10	-0.0079288	-0.10244	0.91864	0.9965	0.9184	0.99649
AKAP4	10	-0.20144	-2.2017	0.059406	0.72857	0.027685	0.61705
PRKD2	10	0.091619	1.0173	0.37581	0.9961	0.30901	0.90162
TAP1	10	0.065876	0.77701	0.52303	0.9961	0.43715	0.92978
L3MBTL1	10	-0.21529	-2.0533	0.046061	0.67901	0.040047	0.67467
PTPN1	10	0.064474	0.51698	0.53078	0.9961	0.60517	0.95942
STK17B	10	0.0047295	0.050055	0.98192	0.99694	0.96008	0.99869
ATP5C1	10	0.0011933	0.010036	0.98795	0.99784	0.99199	1
SDS	10	0.11105	1.1403	0.2768	0.96692	0.25415	0.87765
SLC16A7	10	-0.038905	-0.39586	0.69651	0.9961	0.69221	0.97862
CALR	10	-0.20151	-1.5412	0.059406	0.72857	0.12326	0.81574
PPP1CA	10	0.097506	0.93553	0.34266	0.9961	0.34952	0.9042
ART1	10	-0.24301	-2.1449	0.02669	0.61386	0.031965	0.64841
OPRD1	10	-0.05157	-0.7251	0.613	0.9961	0.46839	0.92978
PHKB	10	-0.18109	-2.0283	0.092553	0.77817	0.042526	0.67799
KRT8	10	0.10526	1.2606	0.30607	0.98795	0.20745	0.86343
PIK3CB	10	0.088073	0.56015	0.39087	0.9961	0.57538	0.95942
DRD3	10	-0.010075	-0.14528	0.90228	0.9965	0.88449	0.99498
UGP2	10	0.022378	0.3124	0.84115	0.9961	0.75473	0.97983
BLVRA	10	-0.17755	-2.0241	0.097288	0.78477	0.042965	0.67799
SLK	10	0.0088381	0.093206	0.95351	0.9965	0.92574	0.99649
NCOA5	10	0.12222	1.4585	0.226	0.91972	0.1447	0.82859
EXTL2	10	-0.081086	-0.99702	0.4421	0.9961	0.31875	0.90162
ACAT2	10	-0.099126	-1.0584	0.3461	0.9961	0.28988	0.89459
GGPS1	10	-0.40611	-2.5252	0	0	0.011562	0.50142
MAPKAP1	10	-0.019122	-0.27172	0.84245	0.9961	0.78584	0.98062
ERBB2	10	-0.046511	-0.47149	0.64572	0.9961	0.63729	0.96319
CSNK1A1	10	0.33989	1.9067	0.0017219	0.16129	0.056561	0.70695
GABRA3	10	-0.00010539	-0.0011478	0.97848	0.9965	0.99908	1
PTP4A2	10	0.070249	0.65006	0.49591	0.9961	0.51565	0.94163
MADD	10	0.084221	0.98857	0.41541	0.9961	0.32287	0.90162
CCBL1	10	0.024046	0.27561	0.82867	0.9961	0.78285	0.97983
PAK2	10	-0.10209	-0.82827	0.33018	0.9961	0.40752	0.92978
GMDS	10	-0.076434	-0.77901	0.46578	0.9961	0.43598	0.92978
HTR7	10	0.079608	0.92174	0.43866	0.9961	0.35667	0.90745
S100A13	10	0.20624	2.1219	0.042187	0.65772	0.033844	0.65747
CLPS	10	0.051154	0.64368	0.63022	0.9961	0.51978	0.94185
VDAC1	10	0.060124	0.41589	0.56263	0.9961	0.67749	0.97862
GSTA2	10	-0.032503	-0.32393	0.74602	0.9961	0.74599	0.97983
PIK3CD	10	-0.033502	-0.27874	0.73353	0.9961	0.78044	0.97983
EHHADH	10	0.12029	1.5775	0.23547	0.93664	0.11469	0.7892
MAPK8IP1	10	-0.0668	-0.69778	0.517	0.9961	0.48532	0.9325
HIPK2	10	-0.18459	-2.2832	0.084804	0.77817	0.022417	0.57087
DGKQ	10	-0.04908	-0.5911	0.62936	0.9961	0.55446	0.95942
SCNN1D	10	-0.017383	-0.22346	0.85235	0.9961	0.82318	0.98979
F10	10	-0.082039	-1.1404	0.4365	0.9961	0.2541	0.87765
PNP	10	-0.052207	-0.53611	0.61042	0.9961	0.59188	0.95942
DDR2	10	-0.037271	-0.37384	0.70555	0.9961	0.70852	0.97862
PAK3	10	0.10384	1.084	0.3121	0.98795	0.27836	0.88944
PIP5KL1	10	0.031037	0.38579	0.77099	0.9961	0.69965	0.97862
MKNK2	10	0.17126	1.8342	0.089109	0.77817	0.066631	0.70695
ULK1	10	-0.010641	-0.12081	0.89884	0.9965	0.90384	0.99649
HCRT	10	0.077578	0.70289	0.45243	0.9961	0.48212	0.93126
SYT2	10	-0.096448	-1.0504	0.3573	0.9961	0.29354	0.89496
CA9	10	0.10222	1.0758	0.32028	0.99068	0.28201	0.89262
DAPK2	10	0.10309	0.99425	0.31683	0.98795	0.3201	0.90162
CACNA1I	10	-0.025014	-0.40126	0.80112	0.9961	0.68823	0.97862
GLS2	10	-0.029401	-0.40537	0.76797	0.9961	0.6852	0.97862
CACNG1	10	0.07562	0.856	0.46276	0.9961	0.392	0.92685
PPP1R9A	10	0.030166	0.2931	0.77701	0.9961	0.76945	0.97983
MOCOS	10	-0.0036937	-0.0468	0.95308	0.9965	0.96267	0.99869
ATP4A	10	-0.19494	-2.5288	0.068446	0.73953	0.011446	0.50142
RAMP3	10	-0.14044	-1.0248	0.18037	0.87247	0.30548	0.90162
PNLIPRP2	10	0.035437	0.36875	0.7387	0.9961	0.71231	0.97983
CDK18	10	0.030528	0.39442	0.774	0.9961	0.69327	0.97862
PIP4K2C	10	0.13929	1.2929	0.16832	0.86696	0.19605	0.84727
ITGA4	10	-0.12665	-1.5094	0.226	0.91972	0.1312	0.8237
PADI2	10	-0.0018426	-0.020948	0.96556	0.9965	0.98329	0.99869
CKS1B	13	0.032772	0.29064	0.72105	0.9961	0.77133	0.97983
PKM	10	-0.19583	-1.884	0.067155	0.73585	0.059561	0.70695
EPHB4	10	-0.060391	-0.55521	0.55704	0.9961	0.57875	0.95942
PLAU	9	0.03824	0.44746	0.73827	0.9961	0.65454	0.97152
TSSK1B	10	-0.1016	-1.5228	0.33147	0.9961	0.1278	0.8237
NME6	10	-0.014974	-0.13338	0.86698	0.9961	0.8939	0.99498
MTFMT	10	-0.0096254	-0.076432	0.90616	0.9965	0.93908	0.99649
HTR2C	10	-0.029	-0.38836	0.76926	0.9961	0.69775	0.97862
PFKM	10	-0.034217	-0.39811	0.72966	0.9961	0.69055	0.97862
MAP2K3	10	-0.041544	-0.38367	0.67714	0.9961	0.70123	0.97862
M6PR	10	0.10072	1.0027	0.32975	0.9961	0.31601	0.90162
EFNB2	10	0.13319	1.2559	0.18683	0.875	0.20916	0.86446
TLR8	10	-0.0075492	-0.083307	0.92122	0.9965	0.93361	0.99649
NEK4	10	-0.046179	-0.49625	0.64701	0.9961	0.61972	0.96223
GSTM4	10	0.069803	0.93019	0.50022	0.9961	0.35227	0.90592
PADI1	10	0.13415	1.0396	0.18511	0.87247	0.29851	0.90127
SLC22A8	10	0.012829	0.15364	0.92165	0.9965	0.87789	0.99498
PDE7A	10	0.17539	1.221	0.081791	0.77642	0.22208	0.87004
ADORA2A	10	-0.025642	-0.31104	0.79595	0.9961	0.75577	0.97983
ISG20	10	-0.14413	-1.4644	0.16961	0.86809	0.14309	0.82859
GRIA3	10	0.26178	2.2753	0.012053	0.48276	0.022891	0.57178
CPA1	10	-0.031715	-0.31512	0.75161	0.9961	0.75267	0.97983
CEACAM5	6	-0.10464	-1.1552	0.44038	0.9961	0.24802	0.87765
STK16	10	0.067978	0.56403	0.50882	0.9961	0.57274	0.95942
CFL1	10	-0.23596	-2.5359	0.030994	0.62393	0.011215	0.50142
AMY2B	10	-0.074346	-0.71561	0.47826	0.9961	0.47423	0.92978
EPHB1	10	0.10406	0.95817	0.31124	0.98795	0.33798	0.9042
MOS	10	-0.008154	-0.10913	0.91692	0.9965	0.9131	0.99649
MTMR4	10	-0.016483	-0.16322	0.85751	0.9961	0.87034	0.99498
GLYATL2	10	-0.048892	-0.63812	0.63108	0.9961	0.52339	0.94221
AZGP1	10	0.080947	0.82839	0.43263	0.9961	0.40745	0.92978
MTTP	10	0.11446	1.1126	0.26216	0.95305	0.2659	0.87765
KRTAP5-3	10	0.15542	1.6798	0.12053	0.81143	0.093002	0.74663
CAMKV	10	0.11536	1.6775	0.25958	0.95305	0.093451	0.74663
DUSP18	10	-0.04903	-0.4859	0.62979	0.9961	0.62704	0.96319
MAPK10	10	-0.047826	-0.59994	0.63668	0.9961	0.54855	0.95407
MAP2K2	10	-0.093704	-1.0605	0.37236	0.9961	0.28894	0.89459
PYCR2	3	0.26276	1.4073	0.16057	0.86696	0.15935	0.82859
SLC19A3	10	0.16509	2.0383	0.10073	0.78477	0.041524	0.67799
GPX2	10	-0.16299	-1.4221	0.12226	0.81143	0.15501	0.82859
SPHKAP	10	-0.074992	-1.061	0.47266	0.9961	0.28869	0.89459
GSS	10	0.043354	0.5168	0.68403	0.9961	0.6053	0.95942
PAPSS1	10	-0.064129	-0.73587	0.53422	0.9961	0.46181	0.92978
MINPP1	10	0.04006	0.40761	0.70555	0.9961	0.68356	0.97862
ULK3	10	-0.064121	-0.63954	0.53465	0.9961	0.52247	0.94221
CD86	10	0.035732	0.35829	0.73655	0.9961	0.72012	0.97983
DUT	10	-0.048659	-0.38547	0.63237	0.9961	0.69989	0.97862
PFKFB2	10	-0.024755	-0.32124	0.80284	0.9961	0.74803	0.97983
HRH2	10	0.11729	1.1405	0.2514	0.95269	0.25408	0.87765
PDC	10	-0.15122	-1.5167	0.15024	0.85854	0.12935	0.8237
KCNMB3	10	-0.10352	-1.0487	0.32157	0.99072	0.29434	0.89496
PLA2G2D	10	0.053292	0.52272	0.61558	0.9961	0.60117	0.95942
CGA	10	0.14876	1.1274	0.13904	0.84131	0.25956	0.87765
DGKH	10	0.099084	1.115	0.33491	0.9961	0.26484	0.87765
PANK3	10	-0.019108	-0.18727	0.84245	0.9961	0.85145	0.99498
ADCK1	10	0.076342	0.78771	0.4576	0.9961	0.43086	0.92978
GRIA1	10	-0.027383	-0.32221	0.78347	0.9961	0.74729	0.97983
GLUL	10	0.13233	1.3148	0.18941	0.87723	0.18858	0.84388
PKIG	10	0.01968	0.19628	0.86225	0.9961	0.84439	0.99498
ATP5A1	10	-0.069706	-0.51829	0.50323	0.9961	0.60426	0.95942
CHRNA6	10	0.071958	0.65897	0.4873	0.9961	0.50992	0.93987
PPP1R7	10	-0.043893	-0.5303	0.65906	0.9961	0.5959	0.95942
COX7C	10	0.11271	0.66945	0.26948	0.9633	0.50321	0.93671
ATP6V1B2	10	-0.49445	-3.7995	0	0	0.00014496	0.13444
PISD	10	-0.20365	-1.8646	0.057684	0.72857	0.062235	0.70695
DYRK4	10	0.086799	0.86733	0.40121	0.9961	0.38576	0.92536
GPD1	10	-0.023908	-0.37817	0.80887	0.9961	0.70531	0.97862
ARPC2	10	0.23963	1.9968	0.019372	0.56962	0.045842	0.67799
ADSSL1	10	-0.050371	-0.53515	0.62032	0.9961	0.59255	0.95942
DAPK1	10	-0.10573	-1.2558	0.31037	0.98795	0.2092	0.86446
DUSP23	10	-0.22135	-2.7911	0.040034	0.65035	0.0052535	0.47992
NLK	10	0.15184	1.4902	0.13	0.82561	0.13618	0.82859
EPHA3	10	0.090194	0.60334	0.38183	0.9961	0.54628	0.95407
UGT1A9	5	-0.25468	-1.4135	0.10504	0.79545	0.1575	0.82859
FST	10	0.012848	0.17528	0.92079	0.9965	0.86086	0.99498
ATP5B	10	-0.09169	-0.75034	0.38399	0.9961	0.45305	0.92978
CHRM3	10	0.014463	0.18662	0.90185	0.9965	0.85196	0.99498
LMTK3	10	0.026733	0.29439	0.80542	0.9961	0.76846	0.97983
STK32B	10	0.093601	1.1546	0.36677	0.9961	0.24826	0.87765
CDKN2A	10	-0.097519	-1.1397	0.35385	0.9961	0.2544	0.87765
MTMR14	10	0.10483	1.5857	0.30908	0.98795	0.11281	0.78673
PLK2	10	0.037747	0.30885	0.71976	0.9961	0.75743	0.97983
SUCLA2	10	-0.096775	-0.9809	0.35601	0.9961	0.32664	0.90162
TSKS	10	-0.11785	-0.98954	0.25484	0.95305	0.3224	0.90162
MASTL	10	-0.048056	-0.50828	0.63582	0.9961	0.61126	0.95959
PPM1A	10	-0.12725	-1.1241	0.22213	0.91815	0.26096	0.87765
IKBKE	10	-0.10898	-1.1897	0.29703	0.98166	0.23416	0.87765
STK11	10	0.14809	1.6258	0.14206	0.84131	0.10399	0.76449
PRKAG1	9	0.21659	2.017	0.049074	0.68047	0.043691	0.67799
PFAS	10	-0.034839	-0.41876	0.72579	0.9961	0.67539	0.97862
ATP6V1A	10	-0.32419	-2.1327	0.0043048	0.26316	0.032947	0.65106
SERPINB2	10	0.049883	0.41016	0.64184	0.9961	0.68169	0.97862
LEPRE1	10	-0.032384	-0.30519	0.74688	0.9961	0.76022	0.97983
PPP2R5C	10	-0.12864	-1.1461	0.21696	0.91577	0.25177	0.87765
SRMS	10	-0.025303	-0.22353	0.79897	0.9961	0.82312	0.98979
DUSP19	10	0.15035	1.333	0.13388	0.83378	0.18252	0.83494
SEPSECS	10	-0.030174	-0.27023	0.76367	0.9961	0.78698	0.98078
CAMKK1	10	0.11333	1.5254	0.26733	0.95981	0.12716	0.8237
TSSK4	10	0.13963	1.3655	0.16789	0.86696	0.1721	0.82859
SFTPA1	10	-0.10329	-1.2915	0.32243	0.99074	0.19653	0.84727
FN3K	10	-0.052653	-0.81638	0.6087	0.9961	0.41428	0.92978
PRDX2	10	-0.10373	-0.79276	0.32028	0.99068	0.42792	0.92978
RDX	10	-0.0071341	-0.042053	0.92424	0.9965	0.96646	0.99869
IGSF10	10	0.081134	0.89887	0.43263	0.9961	0.36872	0.91352
PAK4	10	-0.12978	-1.2872	0.21481	0.91577	0.19803	0.85189
STK4	10	0.039014	0.28619	0.71244	0.9961	0.77473	0.97983
GUCY2F	10	0.12275	1.4294	0.22514	0.91972	0.15289	0.82859
FOLR3	10	-0.017136	-0.16414	0.85407	0.9961	0.86962	0.99498
PTPLA	10	0.12011	0.80349	0.23719	0.93718	0.42169	0.92978
CHRNA9	10	-0.22525	-1.3837	0.036591	0.63235	0.16645	0.82859
HS3ST1	10	-0.001546	-0.022267	0.96858	0.9965	0.98224	0.99869
CLCNKA	10	-0.032306	-0.36038	0.74688	0.9961	0.71856	0.97983
VDAC2	10	0.19349	1.8981	0.060267	0.72857	0.057682	0.70695
ERBB3	10	0.03691	0.35276	0.72665	0.9961	0.72427	0.97983
DNPEP	10	-0.068518	-0.68284	0.50753	0.9961	0.49471	0.93351
SPINK6	10	0.17007	1.1219	0.091261	0.77817	0.26192	0.87765
PTPN9	10	0.033325	0.33066	0.75506	0.9961	0.7409	0.97983
CHIA	10	0.028887	0.3695	0.7882	0.9961	0.71176	0.97983
GRIN2D	10	0.1161	1.1189	0.25613	0.95305	0.26318	0.87765
MTMR11	10	0.0076945	0.096365	0.96298	0.9965	0.92323	0.99649
RPS6KC1	10	0.0717	0.76222	0.48816	0.9961	0.44593	0.92978
TPTE2	10	0.10401	0.94186	0.31167	0.98795	0.34626	0.9042
SYNC	10	-0.0071833	-0.052972	0.92424	0.9965	0.95775	0.99869
ALDH3A1	10	0.16705	2.1767	0.095136	0.77817	0.029504	0.62878
CYB5A	10	-0.010333	-0.11182	0.90099	0.9965	0.91096	0.99649
PACSIN1	10	-0.050957	-0.53254	0.61558	0.9961	0.59435	0.95942
MME	10	0.074244	0.83945	0.47223	0.9961	0.40121	0.92978
PTPN5	10	-0.035641	-0.34423	0.71718	0.9961	0.73067	0.97983
TTN	10	-0.086241	-1.0794	0.41498	0.9961	0.28042	0.89179
RAB8B	10	-0.039417	-0.30881	0.69436	0.9961	0.75746	0.97983
WNK1	10	-0.069251	-0.94264	0.50452	0.9961	0.34587	0.9042
AARS2	10	-0.079237	-0.76658	0.45114	0.9961	0.44333	0.92978
SPIRE2	10	-0.14271	-1.6361	0.17348	0.86809	0.10182	0.75484
NPSR1	10	-0.10565	-0.90677	0.31037	0.98795	0.36453	0.91348
PDP2	10	0.10762	0.9872	0.29445	0.98166	0.32354	0.90162
RNASE2	10	-0.014169	-0.14286	0.87043	0.9961	0.8864	0.99498
GAPDHS	10	0.053036	0.44694	0.61731	0.9961	0.65492	0.97152
NR3C2	10	-0.015356	-0.20655	0.86612	0.9961	0.83636	0.99419
KLK1	10	-0.055495	-0.57915	0.58932	0.9961	0.56249	0.95942
NR1I2	10	0.023808	0.36043	0.83039	0.9961	0.71852	0.97983
PIK3R1	10	0.13368	1.1685	0.18554	0.87247	0.24259	0.87765
MAPK7	10	0.023824	0.27792	0.83039	0.9961	0.78107	0.97983
MAN1A1	10	0.083915	1.0093	0.41842	0.9961	0.31283	0.90162
ALDH3B1	10	0.012212	0.081399	0.92854	0.9965	0.93512	0.99649
AK7	10	0.067037	0.67266	0.51614	0.9961	0.50116	0.93464
ADRA1A	10	0.12998	0.94966	0.19888	0.89535	0.34229	0.9042
KCNE1	10	-0.037147	-0.59002	0.70641	0.9961	0.55518	0.95942
GABBR1	10	0.00071066	0.0086303	0.98321	0.99694	0.99311	1
JAKMIP1	10	-0.12042	-1.783	0.24451	0.94108	0.074583	0.72797
TARS2	10	-0.23719	-2.0529	0.030564	0.62393	0.040079	0.67467
GRK6	10	0.041874	0.47561	0.69608	0.9961	0.63435	0.96319
GSTT2	10	0.1029	0.68097	0.31726	0.98795	0.49589	0.93351
RAB9A	10	-0.034923	-0.29593	0.72492	0.9961	0.76728	0.97983
ALLC	10	0.22338	1.6937	0.028842	0.62393	0.090326	0.74663
ALDH1L1	10	-0.017294	-0.16675	0.85278	0.9961	0.86757	0.99498
PDE7B	10	0.09981	0.96045	0.33362	0.9961	0.33683	0.9042
MTAP	10	0.13289	0.96757	0.18812	0.87723	0.33326	0.9042
FASTK	10	0.002341	0.024736	0.99613	0.99871	0.98027	0.99869
HMOX2	10	0.14905	1.5191	0.13861	0.84131	0.12875	0.8237
MAPK6	10	-0.11552	-0.82341	0.26431	0.95497	0.41028	0.92978
GP9	10	-0.046451	-0.59348	0.64572	0.9961	0.55286	0.95942
TUBB2B	10	-0.050172	-0.5657	0.62118	0.9961	0.5716	0.95942
NDUFS8	10	-0.024483	-0.17754	0.80758	0.9961	0.85909	0.99498
CDKL3	10	-0.0027089	-0.023267	0.96083	0.9965	0.98144	0.99869
PRDX5	10	-0.0076912	-0.08781	0.91993	0.9965	0.93003	0.99649
NDUFB10	10	-0.11769	-0.65514	0.25527	0.95305	0.51238	0.94163
MYL6B	10	0.13546	1.4473	0.18123	0.87247	0.1478	0.82859
SPTBN1	10	-0.072655	-0.98946	0.48859	0.9961	0.32244	0.90162
PPT1	10	0.021135	0.23167	0.84933	0.9961	0.81679	0.98918
LDHAL6B	10	-0.18144	-1.5746	0.0904	0.77817	0.11534	0.79039
WARS	10	-0.14188	-1.1303	0.1752	0.86809	0.25833	0.87765
CDKN1B	10	0.10591	1.1176	0.30263	0.98795	0.26372	0.87765
TTBK2	10	0.0184	0.22434	0.87	0.9961	0.8225	0.98979
AKAP5	10	0.072422	0.77568	0.483	0.9961	0.43794	0.92978
ITGA2B	10	-0.040882	-0.48196	0.6836	0.9961	0.62984	0.96319
PRKRA	10	0.16145	0.9604	0.10891	0.79758	0.33685	0.9042
DUSP8	10	-0.066264	-0.76049	0.52002	0.9961	0.44696	0.92978
DNTT	10	-0.12974	-1.1188	0.21481	0.91577	0.26324	0.87765
CELA1	10	0.11123	0.42893	0.2768	0.96692	0.66798	0.97862
CACNA1S	10	-0.19944	-1.8134	0.06285	0.72857	0.069768	0.71075
SCN10A	10	0.043813	0.40403	0.68188	0.9961	0.68619	0.97862
PPP3CB	10	0.057909	0.70101	0.57684	0.9961	0.4833	0.93126
MET	10	-0.11419	-1.2249	0.2712	0.9633	0.2206	0.86858
TFPI	10	-0.18806	-1.7281	0.079208	0.77637	0.083979	0.7464
KCNK3	10	0.056744	0.39449	0.58631	0.9961	0.69322	0.97862
LDHC	10	0.13406	1.1002	0.18511	0.87247	0.27123	0.88122
STK35	10	-0.10587	-1.1198	0.30951	0.98795	0.2628	0.87765
OXCT2	10	-0.028794	-0.21361	0.76969	0.9961	0.83085	0.99322
DCLK1	10	-0.15303	-1.9956	0.14378	0.84131	0.045976	0.67799
CASR	10	-0.070909	-0.75617	0.4972	0.9961	0.44954	0.92978
SLC18A1	10	-0.056019	-0.47331	0.58373	0.9961	0.63599	0.96319
IYD	10	0.20379	1.5246	0.045631	0.67901	0.12736	0.8237
SNRPA	10	-0.19387	-2.2995	0.068876	0.74074	0.021478	0.56059
RXRB	10	0.01884	0.15951	0.86784	0.9961	0.87327	0.99498
TRAPPC4	10	-0.25591	-1.6351	0.021524	0.57471	0.10203	0.75484
